Cust ID,Comment,Comment - Split 1,Comment - Split 2,Comment - Split 3,Comment - Split 4,Comment - Split 5,Comment - Split 6,Comment - Split 7,Comment - Split 8,Comment - Split 9,Comment - Split 10,Target,Service flag,CustType flag,Contact flag,New Flag,Choice flag,Loyal Status,Comp card flag,AcctType flag,Contact Flag2,HQ flag,Multi flag,NewCust Flag
205,easy access.  Quick productxing                                                                                                                                                                                                                                                                             .                                                                                                                                                                                                                                                                                                            .their prices for food and services                                                                                                                                                                                                                                                                          .no card is worst when you benefit,easy,access.,,Quick,productxing,,,,,,0,2,2,1,2,1,3,0,0,0,0,0,0
206,clean                                                                                                                                                                                                                                                                                                       .                                                                                                                                                                                                                                                                                                            .slow                                                                                                                                                                                                                                                                                                        .,clean,,,,,,,,,,1,2,2,2,2,1,2,0,0,0,0,0,0
207,parking                                                                                                                                                                                                                                                                                                     .use for anything                                                                                                                                                                                                                                                                                            .no room                                                                                                                                                                                                                                                                                                     .cant use in store,parking,,,,,,,,,,1,2,1,2,2,2,1,0,0,0,0,0,0
209,"clean, inside and out                                                                                                                                                                                                                                                                                       .selection of products                                                                                                                                                                                                                                                                                       .                                                                                                                                                                                                                                                                                                            .less to chose from","clean,",inside,and,out,,,,,,,0,1,1,1,2,1,1,0,0,0,0,0,0
21,PDCA card                                                                                                                                                                                                                                                                                                   .                                                                                                                                                                                                                                                                                                            .iron skittle dishes                                                                                                                                                                                                                                                                                         .,PDCA,card,,,,,,,,,0,2,2,2,2,1,3,0,0,0,0,0,0
210,quick productx stop                                                                                                                                                                                                                                                                                         .                                                                                                                                                                                                                                                                                                            .customer service                                                                                                                                                                                                                                                                                            .shower,quick,productx,stop,,,,,,,,1,2,1,1,2,1,3,0,0,0,0,0,0
211,you have low sulfur productx compy didn't have                                                                                                                                                                                                                                                              .anything                                                                                                                                                                                                                                                                                                    .bad service                                                                                                                                                                                                                                                                                                 .nothing,you,have,low,sulfur,productx,compy,didn't,have,,,1,2,2,1,2,1,3,0,0,0,0,0,0
213,"price, truck runs better, clean                                                                                                                                                                                                                                                                             .more reward points                                                                                                                                                                                                                                                                                          .not clean, not courteous                                                                                                                                                                                                                                                                                    .you lose point","price,",truck,runs,"better,",clean,,,,,,1,2,2,1,2,1,1,0,0,0,0,0,0
214,short productx lines                                                                                                                                                                                                                                                                                        .can use each item and platinum account unlimited showers/drinks                                                                                                                                                                                                                                             .does not take comdata                                                                                                                                                                                                                                                                                       .no special for platinum use,short,productx,lines,,,,,,,,1,2,2,1,1,1,1,0,0,0,0,0,0
215,user friendly                                                                                                                                                                                                                                                                                               .convenient                                                                                                                                                                                                                                                                                                  .congested                                                                                                                                                                                                                                                                                                   .not many benefits,user,friendly,,,,,,,,,0,2,1,1,2,1,1,0,0,1,0,0,1
216,its close to home and I like the people there                                                                                                                                                                                                                                                               .it starts the productx pump                                                                                                                                                                                                                                                                                 .I don’t care for their restaurants                                                                                                                                                                                                                                                                          .,its,close,to,home,and,I,like,the,people,there,1,2,2,1,2,1,3,0,0,0,0,0,0
217,full service restaurant                                                                                                                                                                                                                                                                                     .promotions with double points                                                                                                                                                                                                                                                                               .no such discount                                                                                                                                                                                                                                                                                            .showers must be taken off card manually,full,service,restaurant,,,,,,,,0,1,2,1,2,1,1,0,0,0,0,0,0
22,TV room big parking lot                                                                                                                                                                                                                                                                                     .shop in store                                                                                                                                                                                                                                                                                               .                                                                                                                                                                                                                                                                                                            .on line only,TV,room,big,parking,lot,,,,,,1,2,1,1,2,2,1,0,0,0,0,0,0
220,the people are friendly and care about me                                                                                                                                                                                                                                                                   .1000 quantps free showers and drink refills for the next month                                                                                                                                                                                                                                              .bad attitudes                                                                                                                                                                                                                                                                                               .,the,people,are,friendly,and,care,about,me,,,1,2,2,1,2,1,1,0,0,0,0,1,0
221,"clean, courteous                                                                                                                                                                                                                                                                                            .more days for showers to ?                                                                                                                                                                                                                                                                                  .too busy. Don’t care for customers                                                                                                                                                                                                                                                                          .the showers run out expire @ ?","clean,",courteous,,,,,,,,,0,2,2,1,2,1,3,0,1,0,0,0,0
223,locations                                                                                                                                                                                                                                                                                                   .in store products                                                                                                                                                                                                                                                                                           .getting in and out                                                                                                                                                                                                                                                                                          .traffic,locations,,,,,,,,,,1,2,2,1,1,1,2,0,0,0,0,0,0
225,the people                                                                                                                                                                                                                                                                                                  .its where I stop                                                                                                                                                                                                                                                                                            .takes too much time to make purchase                                                                                                                                                                                                                                                                        .,the,people,,,,,,,,,1,2,1,1,2,2,1,0,0,0,0,0,0
228,productxer points good for store merch.                                                                                                                                                                                                                                                                     .good for store merch.                                                                                                                                                                                                                                                                                       .prices                                                                                                                                                                                                                                                                                                      .good for showers only and turning on pump,productxer,points,good,for,store,merch.,,,,,1,2,2,1,2,1,1,0,0,0,0,0,0
229,"locations, price, access                                                                                                                                                                                                                                                                                    .                                                                                                                                                                                                                                                                                                            .PR                                                                                                                                                                                                                                                                                                          .","locations,","price,",access,,,,,,,,1,2,1,2,2,1,1,0,0,0,0,0,0
23,clean convenient                                                                                                                                                                                                                                                                                            .store productx                                                                                                                                                                                                                                                                                              .                                                                                                                                                                                                                                                                                                            .?,clean,convenient,,,,,,,,,1,1,2,2,2,1,2,0,0,0,0,0,0
231,"I can call a phone number, identify potential productxing location, and get current cost plus productx pricing                                                                                                                                                                                              .its not the card that is so good; but ways to get points (maintenance as well as productx) and places to use points (restaurants)                                                                                                                                                                           .soldom clean                                                                                                                                                                                                                                                                                                .",I,can,call,a,phone,"number,",identify,potential,productxing,"location,",0,2,2,1,2,1,1,0,0,0,0,0,0
232,good quality                                                                                                                                                                                                                                                                                                .customer is given fair points: good system                                                                                                                                                                                                                                                                  .poor quality unclean store                                                                                                                                                                                                                                                                                  .headache to reedem points,good,quality,,,,,,,,,1,1,2,1,2,1,1,0,0,0,0,0,0
233,restaurants                                                                                                                                                                                                                                                                                                 .they mail point redemers and have restaurants                                                                                                                                                                                                                                                               .small                                                                                                                                                                                                                                                                                                       .,restaurants,,,,,,,,,,0,2,2,2,2,1,1,0,0,0,0,0,0
234,Mercev has worked out a cost plus price with compT and competitor compx                                                                                                                                                                                                                                     .can use points for anything in store or shop                                                                                                                                                                                                                                                                .                                                                                                                                                                                                                                                                                                            .can only use in restaurant or online order,Mercev,has,worked,out,a,cost,plus,price,with,compT,0,1,2,1,2,1,1,0,0,1,0,0,1
235,"at ""compx"" I can write checks without paying annual fee                                                                                                                                                                                                                                                     .                                                                                                                                                                                                                                                                                                            .                                                                                                                                                                                                                                                                                                            .",at,compx,I,can,write,checks,without,paying,annual,fee,0,2,2,1,2,1,1,0,0,0,0,0,0
238,better people and I can find whatever I need fast                                                                                                                                                                                                                                                           .use your points whenever I wont                                                                                                                                                                                                                                                                             .                                                                                                                                                                                                                                                                                                            .,better,people,and,I,can,find,whatever,I,need,fast,1,1,2,1,2,1,3,0,0,0,0,0,0
239,easy in and out                                                                                                                                                                                                                                                                                             .easy redemption of points                                                                                                                                                                                                                                                                                   .no customer service                                                                                                                                                                                                                                                                                         .mail it to you,easy,in,and,out,,,,,,,1,1,2,1,2,1,1,0,0,0,0,0,0
241,"better attitude, cleaner places, better services                                                                                                                                                                                                                                                            .showers credits and coffee credits                                                                                                                                                                                                                                                                          .attitude                                                                                                                                                                                                                                                                                                    .you have to register to get it",better,"attitude,",cleaner,"places,",better,services,,,,,1,2,1,1,2,1,1,0,0,0,0,0,0
242,"shorter productx lines, soapy water to clean winsheild, better toilet paper                                                                                                                                                                                                                                 .free drink with fill up.  Month to month to get free drink and shower for month.  No kiosk to get coupon to use points use loyalty card like credit card                                                                                                                                                    .long lines                                                                                                                                                                                                                                                                                                  .no free drink.  Have to get coupon to use points.  One year to get premium rewards",shorter,productx,"lines,",soapy,water,to,clean,"winsheild,",better,toilet,1,1,2,1,2,1,1,0,0,0,0,0,0
243,customer service                                                                                                                                                                                                                                                                                            .getting points when you want                                                                                                                                                                                                                                                                                .customer service                                                                                                                                                                                                                                                                                            .conditions on point usage,customer,service,,,,,,,,,1,1,2,1,1,1,1,0,0,0,0,0,0
244,convenience                                                                                                                                                                                                                                                                                                 .don’t have to buy so many quantps to get points                                                                                                                                                                                                                                                             .not found many                                                                                                                                                                                                                                                                                              .,convenience,,,,,,,,,,1,2,2,1,2,1,3,0,0,0,0,0,0
245,most convenient                                                                                                                                                                                                                                                                                             .buy things he might need                                                                                                                                                                                                                                                                                    .too expensive                                                                                                                                                                                                                                                                                               .,most,convenient,,,,,,,,,1,2,2,1,2,1,3,0,0,0,0,0,0
247,productx price                                                                                                                                                                                                                                                                                              .                                                                                                                                                                                                                                                                                                            .                                                                                                                                                                                                                                                                                                            .,productx,price,,,,,,,,,0,2,2,1,2,1,3,0,0,0,0,0,0
248,I get the best productx discount there.                                                                                                                                                                                                                                                                     .                                                                                                                                                                                                                                                                                                            .                                                                                                                                                                                                                                                                                                            .they don’t give as many points as the other truckstops do.,I,get,the,best,productx,discount,there.,,,,0,2,2,1,2,1,1,0,0,0,0,0,0
249,"price, value.  Good productx                                                                                                                                                                                                                                                                                .you can buy merchandise                                                                                                                                                                                                                                                                                     .                                                                                                                                                                                                                                                                                                            .not much to it","price,",value.,,Good,productx,,,,,,1,2,2,1,2,1,1,0,0,0,0,0,0
25,clean                                                                                                                                                                                                                                                                                                       .ponint                                                                                                                                                                                                                                                                                                      .dirty                                                                                                                                                                                                                                                                                                       .less points,clean,,,,,,,,,,0,2,2,2,2,1,2,0,0,0,1,0,0
250,restaurant service garage service                                                                                                                                                                                                                                                                           .                                                                                                                                                                                                                                                                                                            .                                                                                                                                                                                                                                                                                                            .,restaurant,service,garage,service,,,,,,,0,2,2,1,2,1,3,0,0,0,0,0,0
252,cost a friendliness                                                                                                                                                                                                                                                                                         .double points and can swipe card                                                                                                                                                                                                                                                                            .no longer takes comdata                                                                                                                                                                                                                                                                                     .,cost,a,friendliness,,,,,,,,1,2,2,1,2,1,3,0,0,0,0,0,0
253,subway                                                                                                                                                                                                                                                                                                      .subway                                                                                                                                                                                                                                                                                                      .                                                                                                                                                                                                                                                                                                            .card is not acceptable on service etc. oil change,subway,,,,,,,,,,1,2,2,1,2,1,1,0,0,1,0,0,0
254,mileage                                                                                                                                                                                                                                                                                                     .everything on food and supplies                                                                                                                                                                                                                                                                             .                                                                                                                                                                                                                                                                                                            .,mileage,,,,,,,,,,1,2,2,1,2,1,1,0,0,0,0,0,0
255,coffee better discount off pump price                                                                                                                                                                                                                                                                       .                                                                                                                                                                                                                                                                                                            .in out time                                                                                                                                                                                                                                                                                                 .,coffee,better,discount,off,pump,price,,,,,0,2,2,2,2,1,3,0,0,0,0,0,0
259,none                                                                                                                                                                                                                                                                                                        .none                                                                                                                                                                                                                                                                                                        .no of trucks                                                                                                                                                                                                                                                                                                .none,none,,,,,,,,,,0,2,2,2,2,1,1,0,0,0,0,0,0
26,showers and service                                                                                                                                                                                                                                                                                         .platinum program                                                                                                                                                                                                                                                                                            .bad service                                                                                                                                                                                                                                                                                                 .points lost,showers,and,service,,,,,,,,1,1,1,1,1,1,1,0,0,0,0,0,0
260,full service restaurant                                                                                                                                                                                                                                                                                     .productx points are avaliable immediately                                                                                                                                                                                                                                                                   .most have old outdated facilities                                                                                                                                                                                                                                                                           .very limited benefits,full,service,restaurant,,,,,,,,0,2,2,1,2,1,1,0,0,0,0,0,0
261,.free showers                                                                                                                                                                                                                                                                                                .cheap productx                                                                                                                                                                                                                                                                                              .,.free,showers,,,,,,,,,1,2,2,1,2,1,1,0,0,0,0,0,0
263,"oparking availability.  Some stops don’t have showers                                                                                                                                                                                                                                                       .                                                                                                                                                                                                                                                                                                            .auto productD discounted lower than truck productx                                                                                                                                                                                                                                                          .have to go to kiosk to print ""redemption coupon""",oparking,availability.,,Some,stops,don’t,have,showers,,,0,2,2,1,2,1,1,0,0,0,0,0,0
